OfferPersonId,OfferId,Question,Textmatching,Duration,Cooperation,Price,Rank,User
4C815FB6-9F3B-4C31-8492-1E9154DDC0A3,A1BA1EE8-B0E8-461B-8008-57CD0B06A036,52,30,21 05:00,1,"221,4",3,PM
8DCF073C-1230-4E48-9723-C0DBB6FD1078,A1BA1EE8-B0E8-461B-8008-57CD0B06A036,52,50,12 21:40,1,"204,87",1,PM
51BA3615-6F68-49A6-8EF0-5AD727E8E342,A1BA1EE8-B0E8-461B-8008-57CD0B06A036,52,30,14 09:53,0,"155,28",2,PM
5BDD5538-52C5-430B-B83B-B5C28A668DE1,A94301AA-2F77-4D55-A4EE-57F6CE9E376C,53,80,09 17:24,0,"29,15",1,PM
D8126874-D375-4934-8680-D065C41A26DC,A94301AA-2F77-4D55-A4EE-57F6CE9E376C,53,60,15 17:18,1,"19,96",2,PM
F192B475-FEE0-42F1-9BF1-08D919011075,A94301AA-2F77-4D55-A4EE-57F6CE9E376C,53,30,13 22:52,1,"41,5",3,PM
F8844A7B-996A-4C42-B1CC-2B86C86647F0,EE63EAAE-5802-4A14-8303-58F1FF9D636E,54,60,17 12:43,1,"46,51",3,PM
42172281-5DCB-4D65-9153-8ED7F476EBE5,EE63EAAE-5802-4A14-8303-58F1FF9D636E,54,70,13 23:27,0,"64,7",2,PM
70254836-5297-4821-9475-91323DDCFA2B,EE63EAAE-5802-4A14-8303-58F1FF9D636E,54,80,13 16:03,1,"50,96",1,PM
239AB166-5743-4138-8BF7-60B724696EBB,31B5A508-BC0D-42E7-BDA9-591549D7FE04,55,10,30 15:18,0,"388,52",3,PM
29B9F2DC-1570-45D0-B879-16700579BB12,31B5A508-BC0D-42E7-BDA9-591549D7FE04,55,60,25 15:07,0,"558,85",2,PM
F709DAFD-AF2B-493A-8223-ABF9428B0FBB,31B5A508-BC0D-42E7-BDA9-591549D7FE04,55,40,20 04:20,0,"420,75",1,PM
B78AC4CD-EE9A-424D-B1DA-619AD97EC620,0FAC13D0-3E39-4513-B8E9-5928A2514250,56,90,47 17:36,0,"699,35",2,PM
A5B88F57-CB7B-4136-89C2-7D2B0CB1EFEE,0FAC13D0-3E39-4513-B8E9-5928A2514250,56,10,42 17:55,0,"737,84",3,PM
F8D05DA5-E4FB-4989-AEC1-F01E1CAEDF88,0FAC13D0-3E39-4513-B8E9-5928A2514250,56,70,46 00:23,2,"531,7",1,PM
611813B1-FDFC-46DB-8A12-96CF76B4406B,CFD989D9-C4AD-421E-8EAE-59CA4D0362B1,57,0,21 22:21,0,"332,88",3,PM
C1A78579-864D-4E32-972A-07DBFF53A1EF,CFD989D9-C4AD-421E-8EAE-59CA4D0362B1,57,20,23 15:41,0,"286,99",1,PM
6A8B1488-A7EC-472E-80C3-7DC74D550429,CFD989D9-C4AD-421E-8EAE-59CA4D0362B1,57,10,23 02:59,1,"312,48",2,PM
BAADE759-E3C2-4001-8CDB-E8B09482CDAE,67D29DB9-1329-47BF-A8C9-5A4FEC40D406,58,50,20 22:14,1,"598,24",2,PM
AE55D95E-66BD-4B7C-AFCE-A9A59757F928,67D29DB9-1329-47BF-A8C9-5A4FEC40D406,58,60,30 11:18,1,"455,42",1,PM
D2E7CA86-4D9C-4275-B6C7-CFF6554529FD,67D29DB9-1329-47BF-A8C9-5A4FEC40D406,58,0,24 00:17,1,"366,47",3,PM
2AA36D8B-BC85-446F-8262-B523C97BF776,A089E3D3-F113-48AB-8287-5AE5434129AF,59,10,16 07:55,1,"7,73",3,PM
7CABC34C-8C86-40EC-A028-7A91DC8AC599,A089E3D3-F113-48AB-8287-5AE5434129AF,59,50,15 03:54,0,"7,3",2,PM
